n, m
10, 18
30, 52
50, 134
70, 140
90, 169
110, 311
130, 316
150, 255
170, 419
190, 475
210, 519
230, 921
250, 1084
270, 645
290, 719
310, 1048
330, 1104
350, 920
370, 986
390, 1201
410, 1478
430, 1180
450, 1722
470, 1318
490, 2042
510, 1585
530, 1741
550, 2153
570, 1882
590, 2017
610, 2217
630, 2533
650, 2113
670, 2158
690, 2354
710, 2685
730, 2445
750, 2334
770, 2926
790, 3446
810, 2557
830, 3879
850, 4142
870, 2226
890, 3575
910, 4355
930, 3729
950, 3697
970, 3199
990, 3675
1010, 3792
1030, 3398
1050, 3952
1070, 3862
1090, 5248
1110, 4008
1130, 4763
1150, 4219
1170, 4548
1190, 4179
1210, 4686
1230, 4886
1250, 5029
1270, 4170
1290, 3650
1310, 4923
1330, 4070
1350, 6141
1370, 4291
1390, 6286
1410, 4262
1430, 5608
1450, 4957
1470, 4571
1490, 5385
1510, 4975
1530, 5133
1550, 9411
1570, 5644
1590, 6717
1610, 5668
1630, 6256
1650, 5601
1670, 6788
1690, 5903
1710, 8249
1730, 7473
1750, 8555
1770, 5894
1790, 5743
1810, 6394
1830, 7455
1850, 6989
1870, 8281
1890, 9097
1910, 6925
1930, 6584
1950, 8226
1970, 6900
1990, 8466
2010, 6848
2030, 6735
2050, 8677
2070, 10594
2090, 9086
2110, 12274
2130, 7481
2150, 9736
2170, 10144
2190, 11528
2210, 9296
2230, 9015
2250, 7321
2270, 9376
2290, 8596
2310, 11576
2330, 9383
2350, 11666
2370, 12023
2390, 8958
2410, 10166
2430, 10571
2450, 11181
2470, 11896
2490, 10899
2510, 9806
2530, 8754
2550, 8560
2570, 11011
2590, 10641
2610, 11243
2630, 8493
2650, 10899
2670, 8976
2690, 10423
2710, 13004
2730, 12135
2750, 12299
2770, 10584
2790, 10653
2810, 15789
2830, 12039
2850, 13217
2870, 11984
2890, 13368
2910, 11376
2930, 12188
2950, 10690
2970, 14354
2990, 15818
3010, 12550
3030, 14000
3050, 13169
3070, 12067
3090, 12964
3110, 16111
3130, 13600
3150, 15029
3170, 12355
3190, 13889
3210, 14220
3230, 12763
3250, 12053
3270, 11414
3290, 17287
3310, 13310
3330, 12457
3350, 16104
3370, 14579
3390, 20080
3410, 12067
3430, 14091
3450, 14779
3470, 14147
3490, 16270
3510, 14331
3530, 14121
3550, 17513
3570, 17495
3590, 12967
3610, 17905
3630, 16483
3650, 16703
3670, 18555
3690, 14664
3710, 14029
3730, 16023
3750, 17668
3770, 17441
3790, 22768
3810, 17197
3830, 16677
3850, 18936
3870, 16074
3890, 14794
3910, 16886
3930, 17287
3950, 15071
3970, 18393
3990, 14861
4010, 25865
4030, 15588
4050, 16880
4070, 19622
4090, 15878
4110, 16966
4130, 22228
4150, 18197
4170, 17241
4190, 21109
4210, 18058
4230, 13890
4250, 16173
4270, 16074
4290, 20190
4310, 17293
4330, 20440
4350, 17524
4370, 16798
4390, 25374
4410, 19198
4430, 24508
4450, 20162
4470, 19262
4490, 18182
4510, 20387
4530, 20436
4550, 22945
4570, 19321
4590, 19995
4610, 17941
4630, 25593
4650, 23066
4670, 21538
4690, 19326
4710, 18860
4730, 25369
4750, 30411
4770, 30607
4790, 20234
4810, 26717
4830, 24479
4850, 18036
4870, 18144
4890, 20678
4910, 18738
4930, 19470
4950, 24187
4970, 18813
4990, 19827
5010, 21988
5030, 23537
5050, 20448
5070, 18841
5090, 24950
5110, 22422
5130, 19808
5150, 21734
5170, 21870
5190, 21481
5210, 25363
5230, 19399
5250, 27860
5270, 23133
5290, 21852
5310, 19725
5330, 24145
5350, 23861
5370, 26371
5390, 21280
5410, 23674
5430, 22696
5450, 23892
5470, 24176
5490, 22611
5510, 20056
5530, 27028
5550, 24345
5570, 31222
5590, 28171
5610, 22563
5630, 22436
5650, 27852
5670, 31904
5690, 28181
5710, 30461
5730, 32010
5750, 24038
5770, 30796
5790, 25857
5810, 28958
5830, 29814
5850, 30250
5870, 29443
5890, 22587
5910, 22021
5930, 25819
5950, 23578
5970, 24264
5990, 37591
6010, 26237
6030, 28276
6050, 25827
6070, 26902
6090, 28476
6110, 26582
6130, 27765
6150, 27723
6170, 29703
6190, 28129
6210, 24576
6230, 27445
6250, 30664
6270, 29677
6290, 29638
6310, 33629
6330, 35520
6350, 31073
6370, 30107
6390, 29573
6410, 43202
6430, 26602
6450, 30303
6470, 35745
6490, 33906
6510, 28056
6530, 30409
6550, 28840
6570, 25468
6590, 27927
6610, 30549
